source	line	class	memberKind	member	memberType	beanProperty	matchingField	fieldType	fieldAnnotations	formerlyMethodTransient	classification
app/owlcms/data/agegroup/AgeGroup.java	119	AgeGroup	FIELD	categoriesAsString	String	categoriesAsString	categoriesAsString	String	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/agegroup/AgeGroup.java	142	AgeGroup	FIELD	id	Long	id	id	Long	@Id,@JsonIgnore		FIELD_STILL_PERSISTED
app/owlcms/data/agegroup/AgeGroup.java	149	AgeGroup	FIELD	forceSave	Boolean	forceSave	forceSave	Boolean	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/agegroup/AgeGroup.java	225	AgeGroup	METHOD	computeChampionshipName	String					yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	259	AgeGroup	METHOD	getAgeFirstSortCode	String	ageFirstSortCode				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	266	AgeGroup	METHOD	getAllCategories	List<Category>	allCategories				no	COMPUTED_OBJECT_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	287	AgeGroup	METHOD	getChampionship	Championship	championship				yes	COMPUTED_OBJECT_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	315	AgeGroup	METHOD	isMixedTeams	boolean	mixedTeams				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	329	AgeGroup	METHOD	getComputedScoringSystem	Ranking	computedScoringSystem				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	339	AgeGroup	METHOD	getDisplayName	String	displayName				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	365	AgeGroup	METHOD	getGenderFirstSortCode	String	genderFirstSortCode				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	386	AgeGroup	METHOD	getMedalScoringSystem	Ranking	medalScoringSystem				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	396	AgeGroup	METHOD	getName	String	name				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	426	AgeGroup	METHOD	getScoringTitle	String	scoringTitle				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	507	AgeGroup	METHOD	setAgeFirstSortCode	String	ageFirstSortCode				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	539	AgeGroup	METHOD	setForceSave	boolean	forceSave	forceSave	Boolean	@JsonIgnore,@Transient	yes	MATCHING_FIELD_JPA_EXCLUDED
app/owlcms/data/agegroup/AgeGroup.java	548	AgeGroup	METHOD	setGenderFirstSortCode	String	genderFirstSortCode				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/AgeGroup.java	601	AgeGroup	METHOD	computedBestAthleteScoringSystem	Ranking					yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	628	Championship	METHOD	isCombinedMenWomenTeams	boolean	combinedMenWomenTeams				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	645	Championship	METHOD	getConfiguredTeamSize	int					no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	664	Championship	METHOD	getGenderedTeamSize	int					no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	669	Championship	METHOD	getMixedTeamSize	int					no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	726	Championship	METHOD	isDefault	boolean	default				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	731	Championship	METHOD	isMixed	boolean	mixed				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	875	Championship	METHOD	usesCompetitionDefaults	boolean					no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	886	Championship	METHOD	computeUsesCompetitionDefaults	boolean					no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	891	Championship	METHOD	computeDifferentFromCompetitionDefaults	boolean					no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	1007	Championship	METHOD	isScoreMedalChampionship	boolean	scoreMedalChampionship				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/agegroup/Championship.java	1013	Championship	METHOD	isSinclair	boolean	sinclair				no	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	132	Athlete	FIELD	qPointsCoefficients	QPoints	qPointsCoefficients	qPointsCoefficients	QPoints	@JsonIgnore		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	134	Athlete	FIELD	sinclairProperties2020	SinclairCoefficients	sinclairProperties2020	sinclairProperties2020	SinclairCoefficients	@JsonIgnore		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	136	Athlete	FIELD	sinclairProperties2024	SinclairCoefficients	sinclairProperties2024	sinclairProperties2024	SinclairCoefficients	@JsonIgnore		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	138	Athlete	FIELD	sinclairProperties2028	SinclairCoefficients	sinclairProperties2028	sinclairProperties2028	SinclairCoefficients	@JsonIgnore		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	354	Athlete	FIELD	fop	FieldOfPlay	fop	fop	FieldOfPlay	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	357	Athlete	FIELD	timingLogger	Logger	timingLogger	timingLogger	Logger	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	360	Athlete	FIELD	df	DecimalFormat	df	df	DecimalFormat	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	363	Athlete	FIELD	liftOrderRank	Integer	liftOrderRank	liftOrderRank	Integer	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	387	Athlete	FIELD	categoryFinished	Boolean	categoryFinished	categoryFinished	Boolean	@Column,@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	393	Athlete	FIELD	checkTiming	boolean	checkTiming	checkTiming	boolean	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	431	Athlete	FIELD	isoBirthDateImported	boolean	isoBirthDateImported	isoBirthDateImported	boolean	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	453	Athlete	FIELD	NORMAL_LEVEL	Level	NORMAL_LEVEL	NORMAL_LEVEL	Level	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	466	Athlete	FIELD	qAgeRank	int	qAgeRank	qAgeRank	int	@Column,@JsonIgnore		FIELD_STILL_PERSISTED
app/owlcms/data/athlete/Athlete.java	469	Athlete	FIELD	qPointsRank	Integer	qPointsRank	qPointsRank	Integer	@Column,@JsonIgnore		FIELD_STILL_PERSISTED
app/owlcms/data/athlete/Athlete.java	477	Athlete	FIELD	robiRank	Integer	robiRank	robiRank	Integer	@JsonIgnore		FIELD_STILL_PERSISTED
app/owlcms/data/athlete/Athlete.java	479	Athlete	FIELD	sinclairRank	Integer	sinclairRank	sinclairRank	Integer	@JsonIgnore		FIELD_STILL_PERSISTED
app/owlcms/data/athlete/Athlete.java	481	Athlete	FIELD	smhfRank	int	smhfRank	smhfRank	int	@Column,@JsonIgnore		FIELD_STILL_PERSISTED
app/owlcms/data/athlete/Athlete.java	509	Athlete	FIELD	startingTotalViolation	boolean	startingTotalViolation	startingTotalViolation	boolean	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	522	Athlete	FIELD	mainRankings	Participation	mainRankings	mainRankings	Participation	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	525	Athlete	FIELD	validation	boolean	validation	validation	boolean	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	528	Athlete	FIELD	fixNames	boolean	fixNames	fixNames	boolean	@JsonIgnore,@Transient		FIELD_JPA_EXCLUDED
app/owlcms/data/athlete/Athlete.java	683	Athlete	METHOD	computedCategoryScore	Double					yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	873	Athlete	METHOD	getAbbreviatedName	String	abbreviatedName				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	899	Athlete	METHOD	getFixedName	String	fixedName				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	972	Athlete	METHOD	getActualLift	Integer					yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	983	Athlete	METHOD	getActualLiftOrNull	Integer					yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	999	Athlete	METHOD	getActuallyAttemptedLifts	int	actuallyAttemptedLifts				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1026	Athlete	METHOD	getAge	Integer	age				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1043	Athlete	METHOD	getAgeAdjustedTotalRank	Integer	ageAdjustedTotalRank	ageAdjustedTotalRank	Integer		yes	MATCHING_FIELD_STILL_PERSISTED
app/owlcms/data/athlete/Athlete.java	1050	Athlete	METHOD	getQYouthRank	Integer	QYouthRank				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1061	Athlete	METHOD	getAgeGroup	AgeGroup	ageGroup				yes	COMPUTED_OBJECT_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1067	Athlete	METHOD	getMedalPolicy	MedalPolicy	medalPolicy				yes	COMPUTED_OBJECT_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1074	Athlete	METHOD	isMedalist	boolean	medalist				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1080	Athlete	METHOD	getAgeGroupCodesAsString	String	ageGroupCodesAsString				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1089	Athlete	METHOD	getAgeGroupCodesMainFirstAsString	String	ageGroupCodesMainFirstAsString				yes	COMPUTED_SCALAR_NO_FIELD
app/owlcms/data/athlete/Athlete.java	1115	Athlete	METHOD	getAgeGroupTeams	Set<String>	ageGroupTeams				yes	COMPUTED_OBJECT_NO_FIELD
