source	line	class	method
app/owlcms/data/agegroup/AgeGroup.java	226	AgeGroup	computeChampionshipName
app/owlcms/data/agegroup/AgeGroup.java	260	AgeGroup	getAgeFirstSortCode
app/owlcms/data/agegroup/AgeGroup.java	290	AgeGroup	getChampionship
app/owlcms/data/agegroup/AgeGroup.java	318	AgeGroup	isMixedTeams
app/owlcms/data/agegroup/AgeGroup.java	333	AgeGroup	getComputedScoringSystem
app/owlcms/data/agegroup/AgeGroup.java	370	AgeGroup	getGenderFirstSortCode
app/owlcms/data/agegroup/AgeGroup.java	392	AgeGroup	getMedalScoringSystem
app/owlcms/data/agegroup/AgeGroup.java	433	AgeGroup	getScoringTitle
app/owlcms/data/agegroup/AgeGroup.java	515	AgeGroup	setAgeFirstSortCode
app/owlcms/data/agegroup/AgeGroup.java	548	AgeGroup	setForceSave
app/owlcms/data/agegroup/AgeGroup.java	558	AgeGroup	setGenderFirstSortCode
app/owlcms/data/agegroup/AgeGroup.java	612	AgeGroup	computedBestAthleteScoringSystem
app/owlcms/data/athlete/Athlete.java	685	Athlete	computedCategoryScore
app/owlcms/data/athlete/Athlete.java	876	Athlete	getAbbreviatedName
app/owlcms/data/athlete/Athlete.java	903	Athlete	getFixedName
app/owlcms/data/athlete/Athlete.java	977	Athlete	getActualLift
app/owlcms/data/athlete/Athlete.java	989	Athlete	getActualLiftOrNull
app/owlcms/data/athlete/Athlete.java	1006	Athlete	getActuallyAttemptedLifts
app/owlcms/data/athlete/Athlete.java	1034	Athlete	getAge
app/owlcms/data/athlete/Athlete.java	1052	Athlete	getAgeAdjustedTotalRank
app/owlcms/data/athlete/Athlete.java	1060	Athlete	getQYouthRank
app/owlcms/data/athlete/Athlete.java	1072	Athlete	getAgeGroup
app/owlcms/data/athlete/Athlete.java	1079	Athlete	getMedalPolicy
app/owlcms/data/athlete/Athlete.java	1087	Athlete	isMedalist
app/owlcms/data/athlete/Athlete.java	1094	Athlete	getAgeGroupCodesAsString
app/owlcms/data/athlete/Athlete.java	1104	Athlete	getAgeGroupCodesMainFirstAsString
app/owlcms/data/athlete/Athlete.java	1131	Athlete	getAgeGroupTeams
app/owlcms/data/athlete/Athlete.java	1151	Athlete	getMixedAgeGroupTeams
app/owlcms/data/athlete/Athlete.java	1168	Athlete	getAllCategoriesAsString
app/owlcms/data/athlete/Athlete.java	1196	Athlete	getAttemptNumber
app/owlcms/data/athlete/Athlete.java	1202	Athlete	getAttemptProgression
app/owlcms/data/athlete/Athlete.java	1213	Athlete	getAttemptsDone
app/owlcms/data/athlete/Athlete.java	1224	Athlete	getBestCleanJerk
app/owlcms/data/athlete/Athlete.java	1246	Athlete	getBestCleanJerkAttemptNumber
app/owlcms/data/athlete/Athlete.java	1268	Athlete	getBestCleanJerkAttemptTime
app/owlcms/data/athlete/Athlete.java	1285	Athlete	getBestLifterRank
app/owlcms/data/athlete/Athlete.java	1301	Athlete	getBestLifterScore
app/owlcms/data/athlete/Athlete.java	1321	Athlete	getBestResultAttemptNumber
app/owlcms/data/athlete/Athlete.java	1358	Athlete	getBestSnatch
app/owlcms/data/athlete/Athlete.java	1380	Athlete	getBestSnatchAttemptNumber
app/owlcms/data/athlete/Athlete.java	1402	Athlete	getBestSnatchAttemptTime
app/owlcms/data/athlete/Athlete.java	1427	Athlete	getBirthDate
app/owlcms/data/athlete/Athlete.java	1447	Athlete	getBWCategory
app/owlcms/data/athlete/Athlete.java	1472	Athlete	getCategoryCode
app/owlcms/data/athlete/Athlete.java	1483	Athlete	getCategoryName
app/owlcms/data/athlete/Athlete.java	1488	Athlete	getCategoryFinished
app/owlcms/data/athlete/Athlete.java	1508	Athlete	shouldHidePublishedCategoryScore
app/owlcms/data/athlete/Athlete.java	1514	Athlete	getCategorySortCode
