bodyMass,mu,sigma,nu
40.0,181.3470018,0.073892349,8.756029935
40.1,181.7240122,0.073898557,8.745497027
40.2,182.1018063,0.073904765,8.734990353
40.3,182.4803859,0.073910973,8.724509783
40.4,182.8597525,0.073917183,8.714055187
40.5,183.2399078,0.073923392,8.703626437
40.6,183.6208534,0.073929602,8.693223405
40.7,184.002591,0.073935813,8.682845965
40.8,184.3851222,0.073942024,8.672493991
40.9,184.7684487,0.073948236,8.662167358
41.0,185.1525721,0.073954448,8.651865943
41.1,185.537494,0.073960661,8.641589623
41.2,185.9232162,0.073966874,8.631338276
41.3,186.3097402,0.073973088,8.621111781
41.4,186.6970679,0.073979302,8.610910017
41.5,187.0852007,0.073985517,8.600732865
41.6,187.4741405,0.073991732,8.590580207
41.7,187.8638889,0.073997948,8.580451925
41.8,188.2544475,0.074004164,8.570347903
41.9,188.645818,0.074010381,8.560268024
42.0,189.0380022,0.074016599,8.550212174
42.1,189.4310018,0.074022816,8.540180237
42.2,189.8248183,0.074029035,8.530172101
42.3,190.2194536,0.074035254,8.520187653
42.4,190.6149093,0.074041473,8.510226781
42.5,191.0111872,0.074047693,8.500289374
42.6,191.4082888,0.074053914,8.490375322
42.7,191.8062161,0.074060135,8.480484515
42.8,192.2049706,0.074066357,8.470616844
42.9,192.6045541,0.074072579,8.460772202
43.0,193.0049683,0.074078801,8.450950481
43.1,193.4062149,0.074085025,8.441151574
43.2,193.8082957,0.074091248,8.431375377
43.3,194.2112124,0.074097473,8.421621783
43.4,194.6149668,0.074103697,8.41189069
43.5,195.0195605,0.074109922,8.402181992
43.6,195.4249954,0.074116148,8.392495587
43.7,195.8312731,0.074122375,8.382831374
43.8,196.2383955,0.074128601,8.37318925
43.9,196.6463642,0.074134829,8.363569115
44.0,197.0551811,0.074141057,8.353970869
44.1,197.4648479,0.074147285,8.344394413
44.2,197.8753664,0.074153514,8.334839647
44.3,198.2867384,0.074159743,8.325306474
44.4,198.6989655,0.074165973,8.315794796
44.5,199.1120496,0.074172204,8.306304517
44.6,199.5259926,0.074178435,8.29683554
44.7,199.9407961,0.074184666,8.287387771
44.8,200.3564619,0.074190898,8.277961114
44.9,200.7729919,0.074197131,8.268555475
45.0,201.1903878,0.074203364,8.25917076
45.1,201.6086515,0.074209598,8.249806878
45.2,202.0277847,0.074215832,8.240463735
45.3,202.4477893,0.074222067,8.23114124
45.4,202.868667,0.074228302,8.221839302
45.5,203.2904197,0.074234537,8.21255783
45.6,203.7130493,0.074240774,8.203296734
45.7,204.1365574,0.07424701,8.194055926
45.8,204.560946,0.074253248,8.184835316
45.9,204.9862169,0.074259486,8.175634817
46.0,205.4123719,0.074265724,8.16645434
46.1,205.8394128,0.074271963,8.157293799
46.2,206.2673415,0.074278202,8.148153108
46.3,206.6961599,0.074284442,8.139032181
46.4,207.1258698,0.074290683,8.129930932
46.5,207.556473,0.074296924,8.120849276
46.6,207.9879714,0.074303165,8.11178713
46.7,208.4203669,0.074309407,8.10274441
46.8,208.8536613,0.07431565,8.093721033
46.9,209.2878565,0.074321893,8.084716916
47.0,209.7229543,0.074328136,8.075731977
47.1,210.1589567,0.07433438,8.066766134
47.2,210.5958656,0.074340625,8.057819307
47.3,211.0336827,0.07434687,8.048891415
47.4,211.4724101,0.074353116,8.039982379
47.5,211.9120495,0.074359362,8.031092118
47.6,212.3526029,0.074365609,8.022220553
47.7,212.7940722,0.074371856,8.013367607
47.8,213.2364593,0.074378104,8.004533201
47.9,213.6797661,0.074384352,7.995717258
48.0,214.1239945,0.074390601,7.9869197
48.1,214.5691464,0.07439685,7.978140452
48.2,215.0152238,0.0744031,7.969379437
48.3,215.4622285,0.074409351,7.960636579
48.4,215.9101625,0.074415601,7.951911804
48.5,216.3590278,0.074421853,7.943205036
48.6,216.8088262,0.074428105,7.934516203
48.7,217.2595598,0.074434357,7.925845229
48.8,217.7112304,0.07444061,7.917192041
48.9,218.16384,0.074446864,7.908556568
49.0,218.6173905,0.074453118,7.899938736
49.1,219.0718839,0.074459373,7.891338473
49.2,219.5273223,0.074465628,7.882755709
49.3,219.9837074,0.074471883,7.874190371
49.4,220.4410413,0.07447814,7.86564239
49.5,220.8993261,0.074484396,7.857111695
49.6,221.3585635,0.074490654,7.848598216
49.7,221.8187557,0.074496911,7.840101884
49.8,222.2799046,0.07450317,7.831622631
49.9,222.7420122,0.074509428,7.823160386
50.0,223.2050805,0.074515688,7.814715084
50.1,223.6691115,0.074521948,7.806286655
50.2,224.1341072,0.074528208,7.797875032
50.3,224.6000696,0.074534469,7.789480149
50.4,225.0670007,0.07454073,7.781101939
50.5,225.5349026,0.074546992,7.772740336
50.6,226.0037771,0.074553255,7.764395275
50.7,226.4736265,0.074559518,7.756066689
50.8,226.9444526,0.074565781,7.747754514
50.9,227.4162575,0.074572046,7.739458686
51.0,227.8890433,0.07457831,7.73117914
51.1,228.362812,0.074584575,7.722915812
51.2,228.8375657,0.074590841,7.71466864
51.3,229.3133063,0.074597107,7.70643756
51.4,229.790036,0.074603374,7.698222509
51.5,230.2677567,0.074609641,7.690023425
51.6,230.7464706,0.074615909,7.681840246
51.7,231.2261798,0.074622177,7.673672911
51.8,231.7068862,0.074628446,7.665521358
51.9,232.188592,0.074634715,7.657385527
52.0,232.6712992,0.074640985,7.649265356
52.1,233.1550099,0.074647255,7.641160786
52.2,233.6397263,0.074653526,7.633071757
52.3,234.1254503,0.074659798,7.62499821
52.4,234.6121842,0.07466607,7.616940084
52.5,235.0999299,0.074672342,7.608897323
52.6,235.5886896,0.074678615,7.600869866
52.7,236.0784655,0.074684889,7.592857656
52.8,236.5692595,0.074691163,7.584860635
52.9,237.0610739,0.074697438,7.576878745
53.0,237.5539108,0.074703713,7.56891193
53.1,238.0477722,0.074709988,7.560960133
53.2,238.5426572,0.074716265,7.553023296
53.3,239.0385175,0.074722541,7.545101365
53.4,239.535268,0.074728819,7.537194282
53.5,240.0328221,0.074735096,7.529301993
53.6,240.5310922,0.074741375,7.521424442
53.7,241.0299902,0.074747653,7.513561574
53.8,241.5294271,0.074753933,7.505713335
53.9,242.0293133,0.074760213,7.49787967
54.0,242.5295583,0.074766493,7.490060526
54.1,243.0300711,0.074772774,7.482255848
54.2,243.5307805,0.074779055,7.474465583
54.3,244.0316979,0.074785337,7.466689678
54.4,244.532856,0.07479162,7.45892808
54.5,245.0342873,0.074797903,7.451180736
54.6,245.5359996,0.074804186,7.443447595
54.7,246.0379202,0.074810471,7.435728604
54.8,246.5400214,0.074816755,7.428023712
54.9,247.0422751,0.07482304,7.420332867
55.0,247.544653,0.074829326,7.412656018
55.1,248.0471266,0.074835612,7.404993115
55.2,248.5496674,0.074841899,7.397344105
55.3,249.0522464,0.074848186,7.389708941
55.4,249.5548345,0.074854474,7.382087571
55.5,250.0574024,0.074860762,7.374479945
55.6,250.5599206,0.074867051,7.366886014
55.7,251.0623593,0.07487334,7.35930573
55.8,251.5646887,0.07487963,7.351739042
55.9,252.0668785,0.07488592,7.344185902
56.0,252.5688983,0.074892211,7.336646262
56.1,253.0707177,0.074898503,7.329120074
56.2,253.5723059,0.074904795,7.32160729
56.3,254.0736317,0.074911087,7.314107862
56.4,254.5746641,0.07491738,7.306621742
56.5,255.0753716,0.074923674,7.299148884
56.6,255.5757225,0.074929968,7.29168924
56.7,256.0756852,0.074936262,7.284242765
56.8,256.5752274,0.074942557,7.276809411
56.9,257.074317,0.074948853,7.269389132
57.0,257.5729216,0.074955149,7.261981883
57.1,258.0710083,0.074961446,7.254587618
57.2,258.5685445,0.074967743,7.247206291
57.3,259.065497,0.074974041,7.239837857
57.4,259.5618325,0.074980339,7.232482271
57.5,260.0575176,0.074986638,7.225139489
57.6,260.5525186,0.074992937,7.217809466
57.7,261.0468015,0.074999237,7.210492157
57.8,261.5403324,0.075005537,7.203187519
57.9,262.0330769,0.075011838,7.195895508
58.0,262.5250006,0.07501814,7.188616081
58.1,263.0160687,0.075024441,7.181349193
58.2,263.5062465,0.075030744,7.174094802
58.3,263.9954989,0.075037047,7.166852865
58.4,264.4837905,0.07504335,7.159623339
58.5,264.9710858,0.075049654,7.152406182
58.6,265.457349,0.075055959,7.145201351
