bodyMass,mu,sigma,nu
40.0,146.6763144,0.110802194,2.211938545
40.1,146.9693224,0.11078233,2.213665284
40.2,147.2629157,0.11076247,2.215387722
40.3,147.5570954,0.110742614,2.217105881
40.4,147.8518629,0.110722761,2.218819781
40.5,148.1472192,0.110702911,2.220529445
40.6,148.4431655,0.110683065,2.222234892
40.7,148.739703,0.110663223,2.223936144
40.8,149.0368329,0.110643385,2.225633221
40.9,149.3345563,0.110623549,2.227326143
41.0,149.6328745,0.110603718,2.229014932
41.1,149.9317886,0.11058389,2.230699606
41.2,150.2312999,0.110564065,2.232380187
41.3,150.5314095,0.110544244,2.234056693
41.4,150.8321185,0.110524427,2.235729145
41.5,151.1334283,0.110504613,2.237397562
41.6,151.4353401,0.110484803,2.239061964
41.7,151.7378549,0.110464996,2.240722369
41.8,152.040974,0.110445193,2.242378798
41.9,152.3446987,0.110425394,2.244031268
42.0,152.6490301,0.110405598,2.245679799
42.1,152.9539694,0.110385805,2.24732441
42.2,153.259518,0.110366016,2.248965119
42.3,153.5656768,0.110346231,2.250601945
42.4,153.8724473,0.110326449,2.252234905
42.5,154.1798306,0.110306671,2.253864019
42.6,154.487828,0.110286896,2.255489305
42.7,154.7964406,0.110267125,2.257110779
42.8,155.1056698,0.110247357,2.25872846
42.9,155.4155056,0.110227593,2.260342367
43.0,155.7258938,0.110207832,2.261952515
43.1,156.0367687,0.110188075,2.263558924
43.2,156.3480639,0.110168322,2.265161609
43.3,156.6597126,0.110148572,2.266760589
43.4,156.9716474,0.110128825,2.268355881
43.5,157.2838003,0.110109082,2.269947501
43.6,157.596103,0.110089343,2.271535466
43.7,157.9084865,0.110069607,2.273119793
43.8,158.2209146,0.110049875,2.274700499
43.9,158.5334573,0.110030146,2.2762776
44.0,158.8461075,0.110010421,2.277851113
44.1,159.1588309,0.109990699,2.279421053
44.2,159.4716031,0.109970981,2.280987438
44.3,159.7844052,0.109951266,2.282550283
44.4,160.0972137,0.109931555,2.284109604
44.5,160.4100047,0.109911848,2.285665417
44.6,160.722755,0.109892144,2.287217737
44.7,161.0354407,0.109872443,2.288766581
44.8,161.3480382,0.109852746,2.290311964
44.9,161.6605233,0.109833053,2.291853901
45.0,161.9728719,0.109813363,2.293392408
45.1,162.2850597,0.109793676,2.2949275
45.2,162.5970621,0.109773994,2.296459191
45.3,162.9088545,0.109754314,2.297987498
45.4,163.220412,0.109734638,2.299512435
45.5,163.5317096,0.109714966,2.301034016
45.6,163.8427222,0.109695297,2.302552257
45.7,164.1534244,0.109675632,2.304067173
45.8,164.4637906,0.10965597,2.305578777
45.9,164.7737953,0.109636312,2.307087084
46.0,165.0834126,0.109616657,2.308592108
46.1,165.3926165,0.109597006,2.310093865
46.2,165.7013808,0.109577358,2.311592367
46.3,166.0096792,0.109557714,2.313087629
46.4,166.3174852,0.109538073,2.314579665
46.5,166.6247723,0.109518436,2.31606849
46.6,166.9315135,0.109498803,2.317554115
46.7,167.2376819,0.109479173,2.319036557
46.8,167.5432504,0.109459546,2.320515827
46.9,167.8481917,0.109439923,2.321991939
47.0,168.1524784,0.109420303,2.323464908
47.1,168.4560829,0.109400687,2.324934746
47.2,168.7589775,0.109381075,2.326401467
47.3,169.0611341,0.109361466,2.327865083
47.4,169.3625252,0.10934186,2.329325609
47.5,169.663136,0.109322258,2.330783056
47.6,169.9629694,0.109302659,2.332237438
47.7,170.2620297,0.109283064,2.333688768
47.8,170.5603212,0.109263473,2.335137059
47.9,170.8578482,0.109243885,2.336582323
48.0,171.1546154,0.1092243,2.338024573
48.1,171.4506271,0.109204719,2.339463821
48.2,171.7458882,0.109185142,2.34090008
48.3,172.0404032,0.109165568,2.342333363
48.4,172.334177,0.109145997,2.343763681
48.5,172.6272145,0.10912643,2.345191046
48.6,172.9195206,0.109106866,2.346615472
48.7,173.2111003,0.109087306,2.34803697
48.8,173.5019588,0.10906775,2.349455552
48.9,173.7921012,0.109048197,2.350871231
49.0,174.0815327,0.109028647,2.352284017
49.1,174.3702588,0.109009101,2.353693922
49.2,174.6582847,0.108989559,2.35510096
49.3,174.9456161,0.10897002,2.35650514
49.4,175.2322584,0.108950484,2.357906475
49.5,175.5182173,0.108930952,2.359304976
49.6,175.8034985,0.108911424,2.360700654
49.7,176.0881077,0.108891898,2.362093522
49.8,176.3720509,0.108872377,2.36348359
49.9,176.6553339,0.108852859,2.364870869
50.0,176.9379628,0.108833344,2.366255371
50.1,177.2199436,0.108813833,2.367637107
50.2,177.5012824,0.108794325,2.369016088
50.3,177.7819856,0.108774821,2.370392324
50.4,178.0620593,0.108755321,2.371765827
50.5,178.34151,0.108735824,2.373136607
50.6,178.6203441,0.10871633,2.374504676
50.7,178.8985681,0.10869684,2.375870044
50.8,179.1761885,0.108677353,2.377232721
50.9,179.453212,0.10865787,2.378592719
51.0,179.7296454,0.10863839,2.379950047
51.1,180.0054954,0.108618914,2.381304716
51.2,180.2807689,0.108599441,2.382656737
51.3,180.5554728,0.108579972,2.38400612
51.4,180.8296142,0.108560506,2.385352876
51.5,181.1032,0.108541044,2.386697013
51.6,181.3762374,0.108521585,2.388038543
51.7,181.6487337,0.10850213,2.389377476
51.8,181.9206961,0.108482678,2.390713821
51.9,182.192132,0.108463229,2.392047589
52.0,182.4630487,0.108443785,2.39337879
