key,en,fr,fr_CA,fr_FR,da,ru,sv,de,es,pt
OWLCMS_Top,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Gestion de compétition d'haltérophilie,,,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Управление соревнованиями по тяжелой атлетике,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Sistema de Gerenciamento de Competição de Levantamento de Pesos
Translator,Jean-François Lamy,Jean-François Lamy,Jean-François Lamy,Georges Viaud,Anders Bendix Nielsen,Алексей Ручьев,Niclas Skarnes,Martin Moreno,José Treminio,Jeferson Coletto
About,About,À propos,À propos,A propos,Om,О системе,Om,Über,Acerca de,Sobre
Active,Active,Actif,,,Aktiv,Активная,Aktiv,Akitv,Activo,Ativo
Active,Active,Actif,,,Aktiv,Активная,Aktiv,Aktiv,Activo,Ativo
ActiveCategoriesOnly,Active Categories Only,Catégories actives seulement,,,Kun aktive vægtklasser,Только активные категории,Endast aktiva viktklasser,Nur aktive Gewichtsklassen,Solo Categorías Activas,Apenas Categorias Ativas
Add,Add,Ajouter,,,Tilføj,Добавить,Lägg till,Hinzufügen,Añadir,Adicionar
Add_title,Add {0},Créer {0},,,Tilføj {0},Добавить {0},Lägg till {0},Hinzufügen {0},Añadir {0},Adicionar {0}
AgeGroup,Age Group,Groupe d'âge,,,Aldersgruppe,Возрастная категория,Åldersgrupp,Altersklasse,Grupos por edades,Grupo de Idade
Announcer,Announcer,Annonceur,,,Speaker,Судья-информатор,Speaker,Sprecher,Presentador,Locutor
AnnouncerEtc,"\u0020(announcer, timekeeper, marshall, result boards, attempt board, jury, etc.)","\u0020(annonceur, chronométreur, changements, résultats, essai courant, jury, etc.)",,,"\u0020(speaker, timekeeper, marshall, result boards, attempt board, jury, osv.)","\u0020(судьи-информатора, судьи-хронометриста, судьи на перезаявках, таблицы результатов, экрана попыток, жюри и т.д.)","\u0020(speaker, tidtagare, sekreterare, resultattavla, försökstavla , jury, osv.)","\u0020(Sprecher, Zeitnehmer, Steigerung, Ergebnis Anzeige, Anzeige Versuch, Jury, usw.)","\u0020(Locutor, Cronmetrista, marshall, Tablas de Resultados, Tablero de Intetos, Jurado, etc.)","\u0020 (Locutor, Cronometrista, Marshall, Painéis de Resultados, Painel de Tentativas, Júri etc.)"
AnnouncerSelectsGroup,The current group for the platform is selected on the <b><i>Announcer</i></b> screen<br>,Le groupe courant pour la plateforme est déterminé par l'<b><i>annonceur</i></b><br>,,,Nuværende gruppe for platformen vælges på <b><i>Speaker</i></b> skærm<br>,Поток выбирается на экране <b><i>судьи-информатора</i></b><br>,Nuvarande gruppen för plattformen är vald på <b><i>Speaker</i></b> skärmen<br>,Die aktuelle Gruppe für die jeweilige Bohle wird auf der<b><i> Sprecher</i> Anzeige</b> ausgewählt.<br>,El grupo actual para la plataforma se selecciona en la <b><i>Anunciador</i></b> pantalla<br>,O grupo atual da plataforma é selecionado na  tela do <b> <i> Locutor </i> </b>.<br>
Apply,Apply,Appliquer,,,Anvend,Применить,Använd,Übernehmen,Aplicar,Aplicar
Athlete_Attempt,Athlete-facing Attempt Board Display,Essai courant (face à l'athlète),,,Atlet-vendt Attempt Board,Экран попытки для спортсмена,Lyftarens Försökstavla,Athleten Anzeige Versuch,Pantalla de Tablero de Intento del Atleta,Tempo Voltado Para o Atleta
Athlete_Decisions,Athlete-facing Timer/Down/Decisions,Chrono/Terre/Décisions (face à l'athlète),,,Atlet-vendt Timer/Nedsignal/Afgørelse,Экран решения для спортсмена,Lyftarens skärm Timer/Nersignal/Beslut,Athleten Anzeige Zeit/Abzeichen/Wertung,Temporizador de cara al Atleta/Abajo/Decisiones,Monitor Para o Atleta Cronômetro / Abaixar / Decisões
AthleteCard,Athlete Card,Carton d'athlète,,,Atletkort,Карточка,Lyftarkort,Startkarte,Tarjeta del Atleta,Cartão do Atleta
AthleteCards,Athlete Cards,Cartons d'athlète,,,Atlet kort,Карточки спортсменов,Lyftarkort,Startkarten,Tarjetas de Atleta,Cartões do Atleta
Attempt,Attempt,Essai,,,Forsøg,Попытка,Försök,Versuch,Tentativa,Tentativa
AttemptAF,Attempt (AF),Essai courant (face à l'athlète),,,Forsøg (AV),Экран попытки (лицом к атлету),Försök (AF),Versuch (AF),Tentativa (AF),Tentativa (AF)
AttemptBoard,Attempt Board,Essai courant,,,Attempt Board,Экран попытки,Försökstavla,Anzeige Versuch,Intento de Tablero,Exibir Tentativas
AttemptBoard_attempt_number,"{0}<sup>{0,choice,1#st|2#nd|3#rd}</sup> att.","{0}<sup>{0,choice,1#er|2#e|3#e}</sup> essai",,,{0}. Forsøg,"{0}{0,choice,1#-ая|2#-ая|3#-я}</sup> п.","{0}<sup>{0,choice,1#:a|2#:a|3#:e}</sup> försök.","{0}<sup>{0,choice,1#|2#|3#}</sup> Vers.","{0}<sup>{0,choice,1#st|2#nd|3#rd}</sup> att.",{0}ª Tent.
AtTimeOfRelease,"\u0020as published at the time of release.  As stated in the license, there is no guarantee whatsoever regarding this software, and you","\u0020tels que disponibles au moment de la publication du logiciel. Tel que mentionné dans la licence, il n'y a aucune garantie et vous",,,"\u0020as published at the time of release.  As stated in the license, there is no guarantee whatsoever regarding this software, and you","\u0020опубликовано на момент релиза.Как указано в лицензии, нет никакой гарантии в отношении этого программного обеспечения, и вы","\u0020som publicerades vid tidpunkten för utgivningen. Som anges i licensen finns det ingen garanti för denna programvara, och du","\u0020wie zum Zeitpunkt der Veröffentlichung veröffentlicht. Wie in der Lizenz angegeben, gibt es keinerlei Garantie in Bezug auf diese Software und Sie","\u0020as Publicado en el momento del lanzamiento. Como se indica en la licencia, no hay garantia alguna con respecto a este software, y usted","\u0020as publicações no momento do lançamento. Como indicado na licença, não há qualquer garantia em relação a este software, e você"
AutomaticProgression,Automatic Progression,Progression automatique,,,Automatisk Øgning,Автоматическая надбавка,Automatisk höjning,Automatische Steigerung,Progresión Automática,Progressão Automática
AvailableTemplates,Available Templates,Formats disponibles,,,Tilgængelige Skabeloner,Доступные шаблоны,Tillgängliga mallar,Verfügbare Vorlagen,Plantillas Disponibles,Modelos Disponíveis
Bar,Bar,Barre,,,Stang,Гриф,Skivstång,Hantel,Barra,Barra
BarWeight,Bar Weight,Poids de la barre,,,Stangens vægt,Вес грифа,Skivstångs vikt,Hantelgewicht,Peso de la Barra,Peso da Barra
BetweenValues,Value must be between {0} and {1} inclusively.,La valeur doit être comprise entre {0} et {1} inclusivement.,,,Værdien skal være mellem {0} og {1} inklusiv.,Значение должно быть между {0} и {1} включительно.,Värdet måste vara mellan {0} och {1} inklusive.,Der Wert muss zwischen {0} und {1} liegen,El valor debe estar entre {0} y {1} inclusivo.,O valor deve ser entre {0} e {1} inclusive.
BirthDate,Birth Date,Date naissance,,,Født,Дата рождения,Födelstid,Geburtsdatum,Fecha de nacimiento,Data de Nascimento
BirthDate_cannot_future,Birth date cannot be in the future,La date de naissance ne peut pas être dans le futur.,,,Fødselsdato må ikke ligge i fremtiden,Дата рождения не может быть в будущем,Födelsedatum kan inte vara i framtiden,Das Geburtsdatum kann nicht in der Zukunft liegen,Fecha de Nacimiento no puede ser en futuro,A data de nascimento não pode ser no futuro
BirthDate_yyyy,Birth Date (yyyy-mm-dd),Date naissance (yyyy-mm-dd),,,Født (yyyy-mm-dd),Дата рождения (yyyy-mm-dd),Födelsedag (yyyy-mm-dd),Geburtsdatum (dd-mm-yyyy),Fecha de nacimiento (yyyy-mm-dd),Data de Nascimento (aaaa-mm-dd)
BodyWeight,Body Weight,Poids,,,Vægt,Собственный вес,Kroppsvikt,Körpergewicht,Peso corporal,Peso Corporal
BumperPlates,Bumper Plates,Grandes plaques,,Disques,Store skiver,Большие диски,Vikt plattor,Hantelscheiben,Pesas grandes,Anilhas Grandes
Button_Open_Display,Use one of the buttons below to open a display.,Utilisez un bouton ci-dessous pour démarrer un affichage,,,Brug en af knapperne nedenfor for at åbne et display.,Используйте одну из кнопок расположенных ниже для открытия экрана,Använd en av knapparna nedan för att öppna en diplay,Benutze einen der unteren Schalter um eine Anzeige zu öffnen,Use uno de los botones a continuación para abrir una pantalla.,Use um dos botões abaixo para abrir um display.
C_and_J_1,C.&J. 1,É.-J. 1,,,Stød 1,Т1,Stöt 1,Stossen 1,Envión 1,1º Arremesso
C_and_J_2,C.&J. 2,É.-J. 2,,,Stød 2,Т2,Stöt 2,Stossen 2,Envión 2,2º Arremesso
C_and_J_3,C.&J. 3,É.-J. 3,,,Stød 3,Т3,Stöt 3,Stossen 3,Envión 3,3º Arremesso
C_and_J_decl,C.&J. Decl.,Décl. É.-J.,,,Stød Dekl.,Толчок,Ingång Stöt,Stossen Mldg.,Envión Decl.,Arremesso Decl.
C_and_J_decl,C.&J. Decl.,Décl. É.-J.,,,Stød Dekl.,Толчок,Ingång Stöt,Stossen Mldg.,Envión Decl.,Arremesso Decl.
C_and_J_number,C.&J. #{0},É.-J. #{0},,,Stød nr. {0},Толчок {0},Stöt #{0},Stossen #{0},Envión #{0},Arremesso # {0}
Cancel,Cancel,Annuler,,,Annuller,Отмена,Avbryt,Abbrechen,Cancelar,Cancelar
CannotEditResults,. You cannot edit the results.,. Vous ne pouvez pas éditer les résultats.,,,. Resultaterne kan ikke ændres.,Вы не можете редактировать результаты,. Du kan inte redigera beslutet,. Du kannst die Ergebnisse nicht bearbeiten.,. No puedes editar los resultados.,. Você não pode editar os resultados.
CannotEditResults_logging,"Group {} currently lifting on platform {}, cannot edit","Groupe {} lève sur plateau {}, impossible d'éditer",,,"Gruppe {} afvikles i øjeblikket på platform {}, kan ikke ændres","Поток {} в настоящее время активен на помосте {}, нельзя редактировать","Grupp {} lyfter för närvarande på plattformen {}, kan inte redigera",Die Gruppe {} die momentan auf Bohle {} hebt kann nicht bearbeitet werden.,"Grupo {} actualmente levantando en plataforma {}, no puede editar","O grupo {} atualmente na plataforma {}, não pode ser editado"
CantReadCell,Can't read cell,Cellule impossible à interpréter,,,Kan ikke læse cellen,Не могу прочитать ячейку,Kan inte läsa cell,Kann Zelle nicht lesen,No puedo leer celular,Não foi possível ler a célula
Card.ageDivision,Division,Division,,,Aldersinddelt,Возрастная кат.,Division,Einteilung,División de Edad,Divisão
Card.ageGroup,Age Group,Groupe d'âge,,,Aldersgruppe,Возрастная категория,Ålders grupp,Altersklasse,Grupos por Edades,Grupo de Idade
Card.automaticProgression,Automatic Progression,Progression automatique,,,Automatisk Øgning,Автоматическая надбавка,Automatisk höjning,Automatische Steigerung,Progresión Automótica,Progressão Automática
Card.birthDate,Birth Date,Naissance,,,Født,Дата рождения,Födelsedag,Geburtsdatum,Fecha de nacimiento,Data de Nascimento
Card.bodyWeight,BodyWeight,Poids Corporel,,,Kropsvægt,Собственный вес,Kroppsvikt,Körpergewicht,Peso corporal,Peso Corporal
Card.category,Category,Catégorie,,,Kategori,Категория,Klass,Gewichtsklasse,Categoría,Categoria
Card.change1,Change 1,Changement 1,,,Ændring 1,Перезаявка 1,Ändring 1,Steigerung 1,Cambio 1,1ª Mudança
Card.change2,Change 2,Changement 2,,,Ændring 2,Перезаявка 2,Ändring 2,Steigerung 2,Cambio 2,2ª Mudança
Card.cleanJerk,Clean&amp;Jerk,Épaulé-jeté,,,Stød,Толчок,Stöt,Stossen,Envión,Arremesso
Card.declaration,Declaration,Déclaration,,,Deklareret,Заявленный вес,Angiven,Meldung,Declaración,Declaração
