Name,Detailed Role,Team,Sessions
ALAJARMEH AHMAD JOR,CENTER_REFEREE,1,"1, 12"
BHBEHANI SHAHED KUW,CENTER_REFEREE,1,"5, 15"
KOHI MOHAMMAD AZAM AFG,CENTER_REFEREE,1,7
MASIC ENISA BIH,CENTER_REFEREE,1,10
MOHAMED RAGHEB EGY,CENTER_REFEREE,2,"2, 14"
MUSTAFAYEV AZAD AZE,CENTER_REFEREE,2,4
NAMWANGA JANET MUSOKE UGA,CENTER_REFEREE,2,9
REEM HAZZAZI KSA,CENTER_REFEREE,2,13
DIRIK OZLEM TUR,CENTER_REFEREE,3,"3, 16"
MOHAMMAD KABIRI IRI,CENTER_REFEREE,3,6
ONUBAYE SEFIYA AHUOIZA NGR,CENTER_REFEREE,3,8
RAHMA ALI YUSUF BRN,CENTER_REFEREE,3,11
HASANI ASTRIT ALB,COMPETITION_SECRETARY,1,"1, 2, 6, 7, 8, 12, 13, 14"
AL-JARMAL ABDULLAH YEM,COMPETITION_SECRETARY,2,"3, 4, 5, 9, 10, 11, 15, 16"
MOUSA WAFFA EGY,COMPETITION_SECRETARY2,1,"1, 2, 6, 7, 8, 12, 13, 14"
ORAZDURDYYEV DOVRAN TKM,COMPETITION_SECRETARY2,2,"3, 4, 5, 9, 10, 11, 15, 16"
REZA SHIRVANI BAKHTIYARI IRI,DOCTOR,1,"1, 2, 6, 7, 8, 12, 13, 14"
ALRADDAWI HAMMOUD SYR,DOCTOR,2,"3, 4, 5, 9, 10, 11, 15, 16"
TCHOBANIAN SEZA LBN,DOCTOR2,1,"1, 2, 6, 7, 8, 12, 13, 14"
FATHI MASMOUDI TUN,DOCTOR2,2,"3, 4, 5, 9, 10, 11, 15, 16"
SSENKUNGU SALIM MUSOKE UGA,JURY_A,1,"1, 2, 6, 7, 8, 12, 13, 14"
IQUAIBOM LAWRENCE NGR,JURY_A,2,"3, 4, 5, 9, 10, 11, 15, 16"
AIDH ALMANDHARI OMA,JURY_B,1,"1, 2, 6, 7, 8, 12, 13, 14"
AHMAD MOHYUDDIN BAN,JURY_B,2,"3, 4, 5, 9, 10, 11, 15, 16"
ALQUTHAMI AHMED KSA,JURY_C,1,"1, 2, 6, 7, 8, 12, 13, 14"
MASIC NEDIM BIH,JURY_C,2,"3, 4, 5, 9, 10, 11, 15, 16"
TCHOBANIAN HAROUTUN LBN,JURY_D,1,"1, 2, 6, 7, 8, 12, 13, 14"
TARIGAN PERGUNAN INA,JURY_D,2,"3, 4, 5, 9, 10, 11, 15, 16"
SOLOVYEVA OLGA KAZ,JURY_PRESIDENT,1,"1, 2, 6, 7, 8, 12, 13, 14"
YAHYA ALI ABDULLAH BRN,JURY_PRESIDENT,2,"3, 4, 5, 9, 10, 11, 15, 16"
ALAJARMEH AHMAD JOR,LEFT_REFEREE,1,10
BHBEHANI SHAHED KUW,LEFT_REFEREE,1,"1, 12"
KOHI MOHAMMAD AZAM AFG,LEFT_REFEREE,1,"5, 15"
MASIC ENISA BIH,LEFT_REFEREE,1,7
MOHAMED RAGHEB EGY,LEFT_REFEREE,2,13
MUSTAFAYEV AZAD AZE,LEFT_REFEREE,2,"2, 14"
NAMWANGA JANET MUSOKE UGA,LEFT_REFEREE,2,4
REEM HAZZAZI KSA,LEFT_REFEREE,2,9
DIRIK OZLEM TUR,LEFT_REFEREE,3,11
MOHAMMAD KABIRI IRI,LEFT_REFEREE,3,"3, 16"
ONUBAYE SEFIYA AHUOIZA NGR,LEFT_REFEREE,3,6
RAHMA ALI YUSUF BRN,LEFT_REFEREE,3,8
ALAWADHI JASSIM UAE,MARSHAL1,1,"1, 2, 6, 7, 8, 12, 13, 14"
IBRAHIM BASEL SYR,MARSHAL1,2,"3, 4, 5, 9, 10, 11, 15, 16"
SULEYMANOV ELKHAN AZE,MARSHAL2,1,"1, 2, 6, 7, 8, 12, 13, 14"
SONNY KASIRAN INA,MARSHAL2,2,"3, 4, 5, 9, 10, 11, 15, 16"
ALAJARMEH AHMAD JOR,REFEREE_RESERVE,1,"5, 15"
BHBEHANI SHAHED KUW,REFEREE_RESERVE,1,7
KOHI MOHAMMAD AZAM AFG,REFEREE_RESERVE,1,10
MASIC ENISA BIH,REFEREE_RESERVE,1,"1, 12"
MOHAMED RAGHEB EGY,REFEREE_RESERVE,2,4
MUSTAFAYEV AZAD AZE,REFEREE_RESERVE,2,9
NAMWANGA JANET MUSOKE UGA,REFEREE_RESERVE,2,13
REEM HAZZAZI KSA,REFEREE_RESERVE,2,"2, 14"
DIRIK OZLEM TUR,REFEREE_RESERVE,3,6
MOHAMMAD KABIRI IRI,REFEREE_RESERVE,3,8
ONUBAYE SEFIYA AHUOIZA NGR,REFEREE_RESERVE,3,11
RAHMA ALI YUSUF BRN,REFEREE_RESERVE,3,"3, 16"
ALAJARMEH AHMAD JOR,RIGHT_REFEREE,1,7
BHBEHANI SHAHED KUW,RIGHT_REFEREE,1,10
KOHI MOHAMMAD AZAM AFG,RIGHT_REFEREE,1,"1, 12"
MASIC ENISA BIH,RIGHT_REFEREE,1,"5, 15"
MOHAMED RAGHEB EGY,RIGHT_REFEREE,2,9
MUSTAFAYEV AZAD AZE,RIGHT_REFEREE,2,13
NAMWANGA JANET MUSOKE UGA,RIGHT_REFEREE,2,"2, 14"
REEM HAZZAZI KSA,RIGHT_REFEREE,2,4
DIRIK OZLEM TUR,RIGHT_REFEREE,3,8
MOHAMMAD KABIRI IRI,RIGHT_REFEREE,3,11
ONUBAYE SEFIYA AHUOIZA NGR,RIGHT_REFEREE,3,"3, 16"
RAHMA ALI YUSUF BRN,RIGHT_REFEREE,3,6
OGUZKAN CAHIT TUR,TECHNICAL_CONTROLLER1,1,"1, 2, 6, 7, 8, 12, 13, 14"
ALYAAGOUB WALEED SALEH KSA,TECHNICAL_CONTROLLER1,2,"3, 4, 5, 9, 10, 11, 15, 16"
QIRMASH ESAM ALI,TECHNICAL_CONTROLLER2,1,7
QIRMASH ESAM ALI LBA,TECHNICAL_CONTROLLER2,1,"1, 2, 6, 8, 12, 13, 14"
TAHORI AHMED MAR,TECHNICAL_CONTROLLER2,2,"3, 4, 5, 9, 10, 11, 15, 16"
ALKHAZRAJ SALEH KSA,TIMEKEEPER,1,"1, 2, 6, 7, 8, 12, 13, 14"
ALMUTAIRI ABDULRAHMAN KUW,TIMEKEEPER,2,"3, 4, 5, 9, 10, 11, 15, 16"
