Active,Role,LastName,FirstName,Level,FederationId,Federation,Affiliation,IWFId,Team,OfficialRole
true,COMPETITION_SECRETARY,HASANI ASTRIT,,,,ALB,,,1,COMPETITION_SECRETARY
true,COMPETITION_SECRETARY,MOUSA WAFFA,,,,EGY,,,1,COMPETITION_SECRETARY2
true,COMPETITION_SECRETARY,AL-JARMAL ABDULLAH,,,,YEM,,,2,COMPETITION_SECRETARY
true,COMPETITION_SECRETARY,ORAZDURDYYEV DOVRAN,,,,TKM,,,2,COMPETITION_SECRETARY2
true,DOCTOR,REZA SHIRVANI BAKHTIYARI,,,,IRI,,,1,DOCTOR
true,DOCTOR,TCHOBANIAN SEZA,,,,LBN,,,1,DOCTOR2
true,DOCTOR,ALRADDAWI HAMMOUD,,,,SYR,,,2,DOCTOR
true,DOCTOR,FATHI MASMOUDI,,,,TUN,,,2,DOCTOR2
true,TECHNICAL_OFFICIAL,AIDH ALMANDHARI,,,,OMA,,,1,JURY_MEMBER
true,TECHNICAL_OFFICIAL,ALQUTHAMI AHMED,,,,KSA,,,1,JURY_MEMBER
true,TECHNICAL_OFFICIAL,SOLOVYEVA OLGA,,,,KAZ,,,1,JURY_PRESIDENT
true,TECHNICAL_OFFICIAL,SSENKUNGU SALIM MUSOKE,,,,UGA,,,1,JURY_MEMBER
true,TECHNICAL_OFFICIAL,TCHOBANIAN HAROUTUN,,,,LBN,,,1,JURY_MEMBER
true,TECHNICAL_OFFICIAL,AHMAD MOHYUDDIN,,,,BAN,,,2,JURY_MEMBER
true,TECHNICAL_OFFICIAL,IQUAIBOM LAWRENCE,,,,NGR,,,2,JURY_MEMBER
true,TECHNICAL_OFFICIAL,MASIC NEDIM,,,,BIH,,,2,JURY_MEMBER
true,TECHNICAL_OFFICIAL,TARIGAN PERGUNAN,,,,INA,,,2,JURY_MEMBER
true,TECHNICAL_OFFICIAL,YAHYA ALI ABDULLAH,,,,BRN,,,2,JURY_PRESIDENT
true,TECHNICAL_OFFICIAL,ALAWADHI JASSIM,,,,UAE,,,1,MARSHAL1
true,TECHNICAL_OFFICIAL,SULEYMANOV ELKHAN,,,,AZE,,,1,MARSHAL2
true,TECHNICAL_OFFICIAL,IBRAHIM BASEL,,,,SYR,,,2,MARSHAL1
true,TECHNICAL_OFFICIAL,SONNY KASIRAN,,,,INA,,,2,MARSHAL2
true,TECHNICAL_OFFICIAL,ALAJARMEH AHMAD,,,,JOR,,,1,REFEREE
true,TECHNICAL_OFFICIAL,BHBEHANI SHAHED,,,,KUW,,,1,REFEREE
true,TECHNICAL_OFFICIAL,KOHI MOHAMMAD AZAM,,,,AFG,,,1,REFEREE
true,TECHNICAL_OFFICIAL,MASIC ENISA,,,,BIH,,,1,REFEREE
true,TECHNICAL_OFFICIAL,MOHAMED RAGHEB,,,,EGY,,,2,REFEREE
true,TECHNICAL_OFFICIAL,MUSTAFAYEV AZAD,,,,AZE,,,2,REFEREE
true,TECHNICAL_OFFICIAL,NAMWANGA JANET MUSOKE,,,,UGA,,,2,REFEREE
true,TECHNICAL_OFFICIAL,REEM HAZZAZI,,,,KSA,,,2,REFEREE
true,TECHNICAL_OFFICIAL,DIRIK OZLEM,,,,TUR,,,3,REFEREE
true,TECHNICAL_OFFICIAL,MOHAMMAD KABIRI,,,,IRI,,,3,REFEREE
true,TECHNICAL_OFFICIAL,ONUBAYE SEFIYA AHUOIZA,,,,NGR,,,3,REFEREE
true,TECHNICAL_OFFICIAL,RAHMA ALI YUSUF,,,,BRN,,,3,REFEREE
true,TECHNICAL_OFFICIAL,OGUZKAN CAHIT,,,,TUR,,,1,TECHNICAL_CONTROLLER1
true,TECHNICAL_OFFICIAL,QIRMASH ESAM,,,,ALI,,,1,TECHNICAL_CONTROLLER2
true,TECHNICAL_OFFICIAL,QIRMASH ESAM ALI,,,,LBA,,,1,TECHNICAL_CONTROLLER2
true,TECHNICAL_OFFICIAL,ALYAAGOUB WALEED SALEH,,,,KSA,,,2,TECHNICAL_CONTROLLER1
true,TECHNICAL_OFFICIAL,TAHORI AHMED,,,,MAR,,,2,TECHNICAL_CONTROLLER2
true,TECHNICAL_OFFICIAL,ALKHAZRAJ SALEH,,,,KSA,,,1,TIMEKEEPER
true,TECHNICAL_OFFICIAL,ALMUTAIRI ABDULRAHMAN,,,,KUW,,,2,TIMEKEEPER
