IOC,Country
AFG,Afghanistan
BRN,Bahrain
BAN,Bangladesh
BRU,Brunei
CAM,Cambodia
CHN,China
TPE,Chinese Taipei
IND,India
INA,Indonesia
IRI,Iran
IRQ,Iraq
JPN,Japan
JOR,Jordan
KAZ,Kazakhstan
KGZ,Kyrgyzstan
KOR,South Korea
PRK,North Korea
KUW,Kuwait
LAO,Laos
LBN,Lebanon
MAS,Malaysia
MGL,Mongolia
MYA,Myanmar
NEP,Nepal
OMA,Oman
PAK,Pakistan
PLE,Palestine
PHI,Philippines
QAT,Qatar
KSA,Saudi Arabia
SGP,Singapore
SRI,Sri Lanka
SYR,Syria
TJK,Tajikistan
THA,Thailand
TKM,Turkmenistan
UAE,United Arab Emirates
UZB,Uzbekistan
VIE,Vietnam
YEM,Yemen
