IOC,Country
ALB,Albania
AND,Andorra
ARM,Armenia
AUT,Austria
AZE,Azerbaijan
BLR,Belarus
BEL,Belgium
BIH,Bosnia and Herzegovina
BUL,Bulgaria
CRO,Croatia
CYP,Cyprus
CZE,Czech Republic
DEN,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRA,France
GBR,Great Britain
GEO,Georgia
GER,Germany
GRE,Greece
HUN,Hungary
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
KOS,Kosovo
LAT,Latvia
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MDA,Moldova
MKD,North Macedonia
MLT,Malta
MNE,Montenegro
NED,Netherlands
NOR,Norway
POL,Poland
POR,Portugal
ROU,Romania
RSA,South Africa
SRB,Serbia
SVK,Slovakia
SLO,Slovenia
SUI,Switzerland
SWE,Sweden
TUR,Turkey
UKR,Ukraine
