IOC,Country
ARG,Argentina
ARU,Aruba
BAH,Bahamas
BAR,Barbados
BIZ,Belize
BER,Bermuda
BOL,Bolivia
BRA,Brazil
IVB,British Virgin Islands
CAN,Canada
CAY,Cayman Islands
CHI,Chile
COL,Colombia
CRC,Costa Rica
CUB,Cuba
DMA,Dominica
DOM,Dominican Republic
ECU,Ecuador
ESA,El Salvador
GRN,Grenada
GUA,Guatemala
GUY,Guyana
HAI,Haiti
HON,Honduras
JAM,Jamaica
MEX,Mexico
NCA,Nicaragua
PAN,Panama
PAR,Paraguay
PER,Peru
PUR,Puerto Rico
SKN,Saint Kitts and Nevis
LCA,Saint Lucia
VIN,Saint Vincent and the Grenadines
SUR,Suriname
TTO,Trinidad and Tobago
USA,United States
URU,Uruguay
VEN,Venezuela
ISV,US Virgin Islands
